"Country Name","Country Code","Year","average_value_Adolescent fertility rate (births per 1,000 women ages 15-19)","average_value_Children in employment, female (% of female children ages 7-14)","average_value_Children in employment, male (% of male children ages 7-14)","average_value_Children in employment, study and work (% of children in employment, ages 7-14)","average_value_Children in employment, study and work, female (% of female children in employment, ages 7-14)","average_value_Children in employment, study and work, male (% of male children in employment, ages 7-14)","average_value_Children in employment, total (% of children ages 7-14)","average_value_Children in employment, work only (% of children in employment, ages 7-14)","average_value_Children in employment, work only, female (% of female children in employment, ages 7-14)","average_value_Children in employment, work only, male (% of male children in employment, ages 7-14)","average_value_Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","average_value_Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","average_value_Life expectancy at birth, female (years)","average_value_Life expectancy at birth, male (years)","average_value_Literacy rate, youth (ages 15-24), gender parity index (GPI)","average_value_Prevalence of HIV, female (% ages 15-24)","average_value_Prevalence of HIV, male (% ages 15-24)","average_value_Proportion of seats held by women in national parliaments (%)","average_value_Refugee population by country or territory of asylum","average_value_Refugee population by country or territory of origin","average_value_School enrollment, primary (gross), gender parity index (GPI)","average_value_School enrollment, primary and secondary (gross), gender parity index (GPI)","average_value_School enrollment, secondary (gross), gender parity index (GPI)","average_value_School enrollment, tertiary (gross), gender parity index (GPI)","average_value_Unemployment, female (% of female labor force) (modeled ILO estimate)","average_value_Unemployment, male (% of male labor force) (modeled ILO estimate)","average_value_Vulnerable employment, female (% of female employment) (modeled ILO estimate)","average_value_Vulnerable employment, male (% of male employment) (modeled ILO estimate)"
"Afghanistan","AFG","1990","162.8354","","","","","","","","","","14.23","64.26","40.11","15.32","15.83","79.16","81.01","49.07","51.442","49.281","","0.1","0.1","","50","6339095","0.548500001430511","","","0.474530011415482","","","",""
"Afghanistan","AFG","1994","164.4486","","","","","","","","","","14.3","63.71","40.19","15.36","15.88","78.63","80.56","49.41","54.012","51.746","","0.1","0.1","","19134","2731166","0.505800008773804","0.432000011205673","0.281430006027222","","14.76","11.09","98.6000032424927","90.5400009155274"
"Africa Western and Central","AFW","1969","172.026084825059","","","","","","","","","","","","","","","","","","42.1625457899585","39.7129555457328","","","","","131200","71050","","","","","","","",""
"Africa Western and Central","AFW","1989","156.266616582237","","","","","","","","","","","","","","","","","","50.0408229979297","47.4372496622653","","","","","132129","199380","","","","","","","",""
"Angola","AGO","1973","224.736","","","","","","","","","","","","","","","","","","43.449","40.716","","","","","","426550","","","","","","","",""
"Antigua and Barbuda","ATG","1989","78.7012","","","","","","","","","","","","","","","","","","73.025","69.427","","","","","","","","","","","","","",""
"Belgium","BEL","2008","9.2298","","","","","","","","","","31.03","36.48","33.8","46.73","60.75","60.84","73.54","67.2","82.6","76.9","","","","35.3333333333333","17025","58","0.997669994831085","1.08785998821259","1.14632999897003","1.20924997329712","7.6","6.47","8.67000007629395","11.1000000834465"
"Belize","BLZ","2012","72.679","","","","","","","","","","34","62.18","48.04","46.8","48.89","80","82.69","65.63","75.683","70.637","","0.3","0.1","3.125","27","35","0.966480016708374","0.990230023860931","1.03050994873047","1.39512002468109","12.72","5.8","25.7599997520447","30.1699991226196"
"Bermuda","BMU","1978","","","","","","","","","","","","","","","","","","","","","","","","","","","0.965780019760132","1.02014994621277","1.09112000465393","","","","",""
"Botswana","BWA","1972","156.218","","","","","","","","","","","","","","","","","","58.025","51.677","","","","","4500","","1.16192996501923","1.11871004104614","0.833280026912689","0.384149998426437","","","",""
"Botswana","BWA","1999","62.8938","","","","","","","","","","36.5","44.27","40.29","49.55","51.48","70.22","71","60.71","53.972","48.657","","23","8.5","","1291","10","1.00296998023987","1.01892995834351","1.05657005310059","0.874189972877502","20.55","16.58","22.5000001192093","16.3300004005432"
"Channel Islands","CHI","1968","24.9498","","","","","","","","","","","","","","","","","","74.729","68.495","","","","","","","","","","","","","",""
"Cote d'Ivoire","CIV","1993","146.1112","","","","","","","","","","41.76","64.06","53.08","48.39","49.01","83.65","83.91","67.69","54.414","50.775","","5.5","1.5","","251578","41","0.715709984302521","","","","5.56","5.97","94.6599998474121","74.8499984741211"
"Curacao","CUW","1965","91.2948","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","DEU","1971","43.654","","","","","","","","","","","","","","","","","","73.856","67.778","","","","","125000","","","","","","","","",""
