Year,Trade Surplus,Market Competitiveness,Regional Connectivity,Single Product Value,Single Product Cost
1960,4,6,7,3,10
1961,6,4,1,9,5
1962,3,4,4,2,9
1963,7,6,4,8,9
1964,2,10,4,1,3
1965,4,6,3,8,1
1966,10,2,9,7,3
1967,5,6,7,1,9
1968,1,1,2,4,1
1969,3,2,3,8,4
1970,2,8,10,7,7
1971,1,2,7,2,6
1972,10,9,2,7,4
1973,10,3,3,5,10
1974,4,5,5,9,1
1975,4,4,10,7,4
1976,1,7,5,10,5
1977,1,1,4,10,1
1978,7,5,10,7,1
1979,10,10,8,7,2
1980,7,3,3,6,4
1981,4,2,4,6,10
1982,5,1,5,2,1
1983,9,3,7,1,7
1984,6,8,6,5,2
1985,6,2,4,1,2
1986,9,5,7,6,3
1987,5,3,1,6,6
1988,2,2,5,2,2
1989,2,4,2,2,10
1990,8,9,7,7,10
1991,2,2,5,6,7
1992,10,1,9,10,6
1993,1,4,1,1,2
1994,3,4,4,2,8
1995,6,10,4,6,4
1996,2,1,4,3,9
1997,7,9,9,6,9
1998,10,3,6,9,7
1999,4,9,3,7,10
2000,9,5,2,3,8
2001,6,3,10,7,7
2002,2,3,2,7,10
2003,5,1,4,1,9
2004,9,5,1,10,2
2005,6,9,8,5,2
2006,9,7,2,4,7
2007,8,5,4,1,6
2008,9,1,2,2,10
2009,7,5,6,10,3
2010,3,8,1,3,7
2011,7,10,6,6,8
2012,9,7,10,1,4
2013,10,4,6,8,7
2014,9,6,9,6,6
2015,3,2,2,2,7
2016,2,3,2,2,1
2017,5,7,4,5,8
2018,3,1,9,2,6
2019,6,8,1,7,6
2020,4,6,3,9,10
2021,9,10,8,8,2
2022,8,7,10,10,4
2023,5,7,10,4,8
