Year,Trade Surplus,Market Competitiveness,Regional Connectivity,Single Product Value,Single Product Cost
1960,4,6,7,3,8
1961,6,5,2,8,6
1962,3,5,5,2,7
1963,7,6,5,9,7
1964,2,9,5,1,4
1965,4,6,4,8,2
1966,9,3,8,7,3
1967,5,6,7,1,7
1968,1,2,3,4,2
1969,3,3,4,8,4
1970,2,8,9,7,7
1971,1,3,6,2,6
1972,9,7,2,7,4
1973,9,4,4,5,8
1974,4,5,6,9,2
1975,4,4,9,7,4
1976,1,7,6,9,5
1977,1,2,5,9,1
1978,7,5,9,7,1
1979,9,9,7,7,3
1980,7,4,4,6,4
1981,4,3,5,6,8
1982,5,2,6,2,2
1983,8,3,6,1,7
1984,6,7,6,5,3
1985,6,2,5,1,3
1986,8,5,7,6,3
1987,5,3,2,6,6
1988,2,3,5,2,3
1989,2,5,3,2,8
1990,8,8,6,7,8
1991,2,3,5,6,7
1992,9,2,7,9,6
1993,1,4,2,1,3
1994,3,5,5,2,7
1995,6,9,5,6,4
1996,2,2,5,3,8
1997,7,8,8,6,8
1998,9,4,5,9,6
1999,4,8,4,7,9
2000,8,5,3,3,7
2001,6,3,8,7,6
2002,2,3,3,7,8
2003,5,2,5,1,7
2004,9,5,2,10,2
2005,6,8,7,5,2
2006,9,7,3,4,7
2007,8,5,4,1,6
2008,9,2,3,2,8
2009,7,5,6,9,3
2010,3,8,2,3,7
2011,7,9,5,6,8
2012,9,7,9,1,4
2013,9,5,6,8,7
2014,9,6,8,6,6
2015,3,3,3,2,7
2016,2,4,3,2,1
2017,5,7,4,5,8
2018,3,2,7,2,6
2019,6,8,2,7,6
2020,4,6,4,9,9
2021,9,9,8,8,3
2022,8,7,9,9,5
2023,5,7,9,4,8
