Year,Trade Surplus,Market Competitiveness,Regional Connectivity,Single Product Value,Single Product Cost
1960,3,5,6,2,7
1961,5,4,3,7,4
1962,2,4,4,1,6
1963,6,5,4,7,6
1964,1,8,4,1,2
1965,3,5,3,7,1
1966,8,2,7,6,2
1967,4,5,6,1,7
1968,1,1,2,3,1
1969,2,2,3,7,3
1970,1,7,9,6,6
1971,1,2,6,1,5
1972,8,7,2,6,3
1973,8,3,3,4,8
1974,3,4,5,7,1
1975,3,3,8,6,3
1976,1,6,5,8,4
1977,1,1,4,8,1
1978,6,4,8,6,1
1979,8,8,6,6,2
1980,6,3,3,5,3
1981,3,2,4,5,8
1982,4,1,5,1,1
1983,7,3,6,1,6
1984,5,7,5,4,2
1985,5,2,4,1,2
1986,7,4,6,5,3
1987,4,3,1,5,5
1988,1,2,5,1,2
1989,1,4,2,1,8
1990,7,8,6,6,8
1991,1,2,5,5,6
1992,8,1,7,8,5
1993,1,3,1,1,2
1994,2,4,4,1,7
1995,5,8,4,5,3
1996,1,1,4,2,8
1997,6,7,7,5,7
1998,8,2,5,8,5
1999,3,7,3,6,8
2000,7,4,2,2,7
2001,5,2,8,6,6
2002,1,2,2,6,8
2003,4,1,4,1,7
2004,8,4,1,8,2
2005,5,7,6,4,2
2006,8,6,2,3,6
2007,7,4,4,1,5
2008,8,1,2,1,8
2009,6,4,5,8,3
2010,2,7,1,2,6
2011,6,8,5,5,7
2012,8,6,8,1,3
2013,9,4,5,7,6
2014,8,5,7,5,5
2015,2,2,2,1,6
2016,1,3,2,1,1
2017,4,6,4,4,7
2018,2,1,7,1,5
2019,5,7,1,6,5
2020,3,5,3,8,8
2021,8,8,7,7,2
2022,7,6,8,8,4
2023,4,6,8,4,7
