Year,Trade Surplus,Market Competitiveness,Regional Connectivity,Single Product Value,Single Product Cost
1960,5,7,6,3,9
1961,7,5,3,8,6
1962,4,5,5,2,8
1963,8,6,5,9,8
1964,3,9,5,1,4
1965,5,6,4,8,2
1966,10,3,8,7,3
1967,6,6,7,1,8
1968,2,2,3,4,2
1969,4,3,4,8,4
1970,3,8,9,7,7
1971,2,3,6,2,6
1972,9,7,2,7,4
1973,9,4,4,5,9
1974,5,5,6,9,2
1975,5,4,9,7,4
1976,2,7,6,9,5
1977,2,2,5,9,1
1978,8,5,9,7,1
1979,10,9,7,7,3
1980,8,4,4,6,4
1981,5,3,5,6,8
1982,6,2,6,2,2
1983,9,3,6,1,7
1984,7,7,6,5,3
1985,7,2,5,1,3
1986,9,5,7,6,3
1987,6,3,2,6,6
1988,3,3,5,2,3
1989,3,5,3,2,9
1990,9,8,6,7,9
1991,3,3,5,6,8
1992,10,2,7,9,6
1993,2,4,2,1,3
1994,4,5,5,2,7
1995,7,9,5,6,4
1996,3,2,5,3,8
1997,8,8,8,6,8
1998,10,4,5,9,6
1999,5,8,4,7,9
2000,9,5,3,3,8
2001,7,3,8,7,7
2002,3,3,3,7,9
2003,6,2,5,1,8
2004,10,5,2,10,2
2005,7,8,7,5,2
2006,10,7,3,4,7
2007,9,5,4,1,6
2008,10,2,3,2,9
2009,8,5,6,9,3
2010,4,8,2,3,7
2011,8,9,5,6,8
2012,10,7,9,1,4
2013,10,5,6,8,7
2014,10,6,8,6,6
2015,4,3,3,2,7
2016,3,4,3,2,1
2017,6,7,4,5,8
2018,4,2,7,2,6
2019,7,8,2,7,6
2020,5,6,4,9,9
2021,10,9,8,8,3
2022,9,7,9,9,5
2023,6,7,9,4,8
