Year,Trade Surplus,Market Competitiveness,Regional Connectivity,Single Product Value,Single Product Cost
1960,4,7,8,3,9
1961,6,6,3,8,7
1962,3,6,5,2,8
1963,7,7,5,9,8
1964,2,10,6,1,4
1965,4,7,4,8,2
1966,10,3,9,7,3
1967,5,7,8,1,8
1968,1,3,4,4,2
1969,3,4,5,8,4
1970,2,9,10,7,7
1971,1,4,7,2,6
1972,10,8,3,7,4
1973,10,5,4,5,9
1974,4,6,7,9,2
1975,4,5,10,7,4
1976,1,8,7,9,5
1977,1,3,6,9,1
1978,7,6,10,7,1
1979,10,10,8,7,3
1980,7,5,5,6,4
1981,4,4,6,6,8
1982,5,3,7,2,2
1983,9,5,7,1,7
1984,6,9,7,5,3
1985,6,3,6,1,3
1986,9,6,8,6,3
1987,5,4,3,6,6
1988,2,4,6,2,3
1989,2,6,3,2,9
1990,9,9,7,7,9
1991,2,4,6,6,8
1992,10,3,8,9,6
1993,1,5,2,1,3
1994,3,6,6,2,7
1995,6,10,6,6,4
1996,2,3,6,3,8
1997,7,9,9,6,8
1998,10,5,7,9,6
1999,4,9,5,7,9
2000,9,6,4,3,8
2001,6,4,9,7,7
2002,2,4,4,7,9
2003,5,3,6,1,8
2004,10,6,3,10,2
2005,7,9,8,5,2
2006,10,8,4,4,7
2007,9,6,5,1,6
2008,10,3,4,2,9
2009,7,6,7,9,3
2010,3,9,3,3,7
2011,7,10,6,6,8
2012,9,8,9,1,4
2013,10,5,7,8,7
2014,10,7,9,6,6
2015,4,4,3,2,7
2016,3,5,3,2,1
2017,6,8,5,5,8
2018,4,3,8,2,6
2019,7,9,3,7,6
2020,5,7,4,9,9
2021,10,10,9,8,3
2022,9,8,10,9,5
2023,6,8,10,4,8
