Year,Trade Surplus,Market Competitiveness,Regional Connectivity,Single Product Value,Single Product Cost
1960,3,5,6,2,8
1961,5,4,3,7,5
1962,2,4,4,1,7
1963,6,5,4,7,7
1964,1,8,4,1,3
1965,3,5,3,7,2
1966,8,2,7,6,3
1967,4,5,6,1,8
1968,1,1,2,3,2
1969,2,2,3,7,4
1970,1,7,9,6,6
1971,1,2,6,1,5
1972,8,7,2,6,4
1973,8,3,3,4,8
1974,3,4,5,7,2
1975,3,3,8,6,4
1976,1,6,5,8,5
1977,1,1,4,8,1
1978,6,4,8,6,1
1979,8,8,6,6,3
1980,6,3,3,5,4
1981,3,2,4,5,8
1982,4,1,5,1,2
1983,7,3,6,1,7
1984,5,7,5,4,3
1985,5,2,4,1,3
1986,7,4,6,5,3
1987,4,3,1,5,6
1988,1,2,5,1,2
1989,1,4,2,1,8
1990,7,8,6,6,8
1991,1,2,5,5,7
1992,8,1,7,8,6
1993,1,3,1,1,3
1994,2,4,4,1,7
1995,5,8,4,5,4
1996,1,1,4,2,8
1997,6,7,7,5,8
1998,8,2,5,8,6
1999,3,7,3,6,9
2000,7,4,2,2,8
2001,5,2,8,6,7
2002,1,2,2,6,9
2003,4,1,4,1,8
2004,8,4,1,8,3
2005,5,7,6,4,3
2006,8,6,2,3,7
2007,7,4,4,1,6
2008,8,1,2,1,9
2009,6,4,5,8,4
2010,2,7,1,2,7
2011,6,8,5,5,8
2012,8,6,8,1,4
2013,9,4,5,7,7
2014,8,5,7,5,6
2015,2,2,2,1,7
2016,1,3,2,1,2
2017,4,6,4,4,8
2018,2,1,7,1,6
2019,5,7,1,6,6
2020,3,5,3,8,9
2021,8,8,7,7,3
2022,7,6,8,8,5
2023,4,6,8,4,8
